x,rhoTime_1e-05,rhoRate_1e-05,rho
-2.8711e+06,NaN,NaN,0.18397
-2.8516e+06,NaN,NaN,0.18397
-2.832e+06,NaN,NaN,0.18397
-2.8125e+06,NaN,NaN,0.18397
-2.793e+06,NaN,NaN,0.18397
-2.7734e+06,NaN,NaN,0.18397
-2.7539e+06,NaN,NaN,0.18397
-2.7344e+06,NaN,NaN,0.18397
-2.7148e+06,NaN,NaN,0.18397
-2.6953e+06,NaN,NaN,0.18397
-2.6758e+06,NaN,NaN,0.18397
-2.6563e+06,NaN,NaN,0.18397
-2.6367e+06,NaN,NaN,0.18397
-2.6172e+06,NaN,NaN,0.18397
-2.5977e+06,NaN,NaN,0.18397
-2.5781e+06,NaN,NaN,0.18397
-2.5586e+06,NaN,NaN,0.18397
-2.5391e+06,NaN,NaN,0.18397
-2.5195e+06,NaN,NaN,0.18397
-2.5e+06,NaN,NaN,0.18397
-2.4805e+06,NaN,NaN,0.18397
-2.4609e+06,NaN,NaN,0.18397
-2.4414e+06,NaN,NaN,0.18397
-2.4219e+06,NaN,NaN,0.18397
-2.4023e+06,NaN,NaN,0.18397
-2.3828e+06,NaN,NaN,0.18397
-2.3633e+06,NaN,NaN,0.18397
-2.3438e+06,NaN,NaN,0.18397
-2.3242e+06,NaN,NaN,0.18397
-2.3047e+06,NaN,NaN,0.18397
-2.2852e+06,NaN,NaN,0.18397
-2.2656e+06,NaN,NaN,0.18397
-2.2461e+06,NaN,NaN,0.18397
-2.2266e+06,NaN,NaN,0.18397
-2.207e+06,NaN,NaN,0.18397
-2.1875e+06,NaN,NaN,0.18397
-2.168e+06,NaN,NaN,0.18397
-2.1484e+06,NaN,NaN,0.18397
-2.1289e+06,NaN,NaN,0.18397
-2.1094e+06,NaN,NaN,0.18397
-2.0898e+06,NaN,NaN,0.18397
-2.0703e+06,NaN,NaN,0.18397
-2.0508e+06,NaN,NaN,0.18397
-2.0313e+06,NaN,NaN,0.18397
-2.0117e+06,NaN,NaN,0.18397
-1.9922e+06,NaN,NaN,0.18397
-1.9727e+06,NaN,NaN,0.18397
-1.9531e+06,NaN,NaN,0.18397
-1.9336e+06,NaN,NaN,0.18397
-1.9141e+06,NaN,NaN,0.18397
-1.8945e+06,NaN,NaN,0.18397
-1.875e+06,NaN,NaN,0.18397
-1.8555e+06,NaN,NaN,0.18397
-1.8359e+06,NaN,NaN,0.18397
-1.8164e+06,NaN,NaN,0.18397
-1.7969e+06,NaN,NaN,0.18397
-1.7773e+06,NaN,NaN,0.18397
-1.7578e+06,NaN,NaN,0.18397
-1.7383e+06,NaN,NaN,0.18397
-1.7188e+06,NaN,NaN,0.18397
-1.6992e+06,NaN,NaN,0.18397
-1.6797e+06,NaN,NaN,0.18397
-1.6602e+06,NaN,NaN,0.18397
-1.6406e+06,NaN,NaN,0.18397
-1.6211e+06,NaN,NaN,0.18397
-1.6016e+06,NaN,NaN,0.18397
-1.582e+06,NaN,NaN,0.18397
-1.5625e+06,NaN,NaN,0.18397
-1.543e+06,NaN,NaN,0.18397
-1.5234e+06,NaN,NaN,0.18397
-1.5039e+06,NaN,NaN,0.18397
-1.4844e+06,NaN,NaN,0.18397
-1.4648e+06,NaN,NaN,0.18397
-1.4453e+06,NaN,NaN,0.18397
-1.4258e+06,NaN,NaN,0.18397
-1.4063e+06,NaN,NaN,0.18397
-1.3867e+06,NaN,NaN,0.18397
-1.3672e+06,NaN,NaN,0.18397
-1.3477e+06,NaN,NaN,0.18397
-1.3281e+06,NaN,NaN,0.18397
-1.3086e+06,NaN,NaN,0.18397
-1.2891e+06,NaN,NaN,0.18397
-1.2695e+06,NaN,NaN,0.18397
-1.25e+06,NaN,NaN,0.18397
-1.2305e+06,NaN,NaN,0.18397
-1.2109e+06,NaN,NaN,0.18397
-1.1914e+06,NaN,NaN,0.18397
-1.1719e+06,NaN,NaN,0.18397
-1.1523e+06,NaN,NaN,0.18397
-1.1328e+06,NaN,NaN,0.18397
-1.1133e+06,NaN,NaN,0.18397
-1.0938e+06,NaN,NaN,0.18397
-1.0742e+06,NaN,NaN,0.18397
-1.0547e+06,NaN,NaN,0.18397
-1.0352e+06,NaN,NaN,0.18397
-1.0156e+06,NaN,NaN,0.18397
-9.9609e+05,NaN,NaN,0.18397
-9.7656e+05,NaN,NaN,0.18397
-9.5703e+05,NaN,NaN,0.18397
-9.375e+05,NaN,NaN,0.18397
-9.1797e+05,NaN,NaN,0.18397
-8.9844e+05,NaN,NaN,0.18397
-8.7891e+05,NaN,NaN,0.18397
-8.5938e+05,NaN,NaN,0.18397
-8.3984e+05,NaN,NaN,0.18397
-8.2031e+05,NaN,NaN,0.18397
-8.0078e+05,NaN,NaN,0.18397
-7.8125e+05,NaN,NaN,0.18397
-7.6172e+05,NaN,NaN,0.18397
-7.4219e+05,NaN,NaN,0.18397
-7.2266e+05,NaN,NaN,0.18397
-7.0313e+05,NaN,NaN,0.18397
-6.8359e+05,NaN,NaN,0.18397
-6.6406e+05,NaN,NaN,0.18397
-6.4453e+05,NaN,NaN,0.18397
-6.25e+05,NaN,NaN,0.18397
-6.0547e+05,NaN,NaN,0.18397
-5.8594e+05,NaN,NaN,0.18397
-5.6641e+05,NaN,NaN,0.18397
-5.4688e+05,NaN,NaN,0.18397
-5.2734e+05,NaN,NaN,0.18397
-5.0781e+05,NaN,NaN,0.18397
-4.8828e+05,NaN,NaN,0.18397
-4.6875e+05,NaN,NaN,0.18397
-4.4922e+05,NaN,NaN,0.18397
-4.2969e+05,NaN,NaN,0.18397
-4.1016e+05,NaN,NaN,0.18397
-3.9063e+05,NaN,NaN,0.18397
-3.7109e+05,NaN,NaN,0.18397
-3.5156e+05,NaN,NaN,0.18397
-3.3203e+05,NaN,NaN,0.18397
-3.125e+05,NaN,NaN,0.18397
-2.9297e+05,NaN,NaN,0.18397
-2.7344e+05,NaN,NaN,0.18397
-2.5391e+05,NaN,NaN,0.18397
-2.3438e+05,NaN,NaN,0.18397
-2.1484e+05,NaN,NaN,0.18397
-1.9531e+05,NaN,NaN,0.18397
-1.7578e+05,NaN,NaN,0.18397
-1.5625e+05,NaN,NaN,0.18397
-1.3672e+05,NaN,NaN,0.18397
-1.1719e+05,NaN,NaN,0.18397
-97656,NaN,NaN,0.18397
-78125,NaN,NaN,0.18397
-58594,NaN,NaN,0.18397
-39063,NaN,NaN,0.18397
-19531,NaN,NaN,0.18397
0,0.0050003,NaN,0.18397
19531,0.020001,1302,0.18397
39063,0.035002,1302,0.18397
58594,0.060003,781.21,0.18397
78125,0.11001,390.61,0.18397
97656,0.21001,195.3,0.18397
1.1719e+05,0.36002,130.2,0.18397
1.3672e+05,0.57003,93.001,0.18397
1.5625e+05,0.81504,79.715,0.18397
1.7578e+05,1.0951,69.751,0.18397
1.9531e+05,1.3851,67.346,0.18397
2.1484e+05,1.6951,63.001,0.18397
2.3438e+05,2.0051,63.001,0.18397
2.5391e+05,2.3151,63.001,0.18397
2.7344e+05,2.6301,62.001,0.18397
2.9297e+05,2.9451,62.001,0.18397
3.125e+05,3.2602,62.001,0.18397
3.3203e+05,3.5752,62.001,0.18397
3.5156e+05,3.8902,62.001,0.18397
3.7109e+05,4.2052,62.001,0.18397
3.9063e+05,4.5202,62.001,0.18397
4.1016e+05,4.8352,62.001,0.18397
4.2969e+05,5.1453,63.001,0.18397
4.4922e+05,5.4603,62.001,0.18397
4.6875e+05,5.7753,62.001,0.18397
4.8828e+05,6.0853,63.001,0.18397
5.0781e+05,6.4003,62.001,0.18397
5.2734e+05,6.7153,62.001,0.18397
5.4688e+05,7.0254,63.001,0.18397
5.6641e+05,7.3354,63.001,0.18397
5.8594e+05,7.6504,62.001,0.18397
6.0547e+05,7.9604,63.001,0.18397
6.25e+05,8.2704,63.001,0.18397
6.4453e+05,8.5854,62.001,0.18397
6.6406e+05,8.8954,63.001,0.18397
6.8359e+05,9.2055,63.001,0.18397
7.0313e+05,9.5155,63.001,0.18397
7.2266e+05,9.8255,63.001,0.18397
7.4219e+05,10.136,63.001,0.18397
7.6172e+05,10.446,63.001,0.18397
7.8125e+05,10.756,63.001,0.18397
8.0078e+05,11.066,63.001,0.18397
8.2031e+05,11.376,63.001,0.18397
8.3984e+05,11.681,64.034,0.18397
8.5938e+05,11.991,63.001,0.18397
8.7891e+05,12.301,63.001,0.18397
8.9844e+05,12.611,63.001,0.18397
9.1797e+05,12.916,64.034,0.18397
9.375e+05,13.226,63.001,0.18397
9.5703e+05,13.531,64.034,0.18397
9.7656e+05,13.841,63.001,0.18397
9.9609e+05,14.151,63.001,0.18397
1.0156e+06,14.456,64.034,0.18397
1.0352e+06,14.766,63.001,0.18397
1.0547e+06,15.071,64.034,0.18397
1.0742e+06,15.381,63.001,0.18397
1.0938e+06,15.686,64.034,0.18397
1.1133e+06,15.991,64.034,0.18397
1.1328e+06,16.301,63.001,0.18397
1.1523e+06,16.606,64.034,0.18397
1.1719e+06,16.911,64.034,0.18397
1.1914e+06,17.221,63.001,0.18397
1.2109e+06,17.526,64.034,0.18397
1.2305e+06,17.831,64.034,0.18397
1.25e+06,18.136,64.034,0.18397
1.2695e+06,18.446,63.001,0.18397
1.2891e+06,18.751,64.034,0.18397
1.3086e+06,19.056,64.034,0.18397
1.3281e+06,19.361,64.034,0.18397
1.3477e+06,19.666,64.034,0.18397
1.3672e+06,19.976,63.001,0.18397
1.3867e+06,20.281,64.034,0.18397
1.4063e+06,20.586,64.034,0.18397
1.4258e+06,20.891,64.034,0.18397
1.4453e+06,21.196,64.034,0.18397
1.4648e+06,21.501,64.034,0.18397
1.4844e+06,21.806,64.034,0.18397
1.5039e+06,22.111,64.034,0.18397
1.5234e+06,22.416,64.034,0.18397
1.543e+06,22.721,64.034,0.18397
1.5625e+06,23.026,64.034,0.18397
1.582e+06,23.331,64.034,0.18397
1.6016e+06,23.636,64.034,0.18397
1.6211e+06,23.941,64.034,0.18397
1.6406e+06,24.246,64.034,0.18397
1.6602e+06,24.551,64.034,0.18397
1.6797e+06,24.856,64.034,0.18397
1.6992e+06,25.161,64.034,0.18397
1.7188e+06,25.466,64.034,0.18397
1.7383e+06,25.766,65.101,0.18397
1.7578e+06,26.071,64.034,0.18397
1.7773e+06,26.376,64.034,0.18397
1.7969e+06,26.681,64.034,0.18397
1.8164e+06,26.986,64.034,0.18397
1.8359e+06,27.291,64.034,0.18397
1.8555e+06,27.591,65.101,0.18397
1.875e+06,27.896,64.034,0.18397
1.8945e+06,28.201,64.034,0.18397
1.9141e+06,28.506,64.034,0.18397
1.9336e+06,28.811,64.034,0.18397
1.9531e+06,29.111,65.101,0.18397
1.9727e+06,29.416,64.034,0.18397
1.9922e+06,29.721,64.034,0.18397
