x,lambdaTime_1e-05,lambdaRate_1e-05,lambda
-1.6797e+06,NaN,NaN,0.0028029
-1.6602e+06,NaN,NaN,0.0043818
-1.6406e+06,NaN,NaN,0.0067663
-1.6211e+06,NaN,NaN,0.010296
-1.6016e+06,NaN,NaN,0.015395
-1.582e+06,NaN,NaN,0.022542
-1.5625e+06,NaN,NaN,0.032195
-1.543e+06,NaN,NaN,0.044665
-1.5234e+06,NaN,NaN,0.059959
-1.5039e+06,NaN,NaN,0.077654
-1.4844e+06,NaN,NaN,0.096902
-1.4648e+06,NaN,NaN,0.1166
-1.4453e+06,NaN,NaN,0.13564
-1.4258e+06,NaN,NaN,0.15319
-1.4063e+06,NaN,NaN,0.16873
-1.3867e+06,NaN,NaN,0.1821
-1.3672e+06,NaN,NaN,0.19336
-1.3477e+06,NaN,NaN,0.20269
-1.3281e+06,NaN,NaN,0.21034
-1.3086e+06,NaN,NaN,0.21657
-1.2891e+06,NaN,NaN,0.2216
-1.2695e+06,NaN,NaN,0.22566
-1.25e+06,NaN,NaN,0.22892
-1.2305e+06,NaN,NaN,0.23153
-1.2109e+06,NaN,NaN,0.23362
-1.1914e+06,NaN,NaN,0.23529
-1.1719e+06,NaN,NaN,0.23662
-1.1523e+06,NaN,NaN,0.23769
-1.1328e+06,NaN,NaN,0.23853
-1.1133e+06,NaN,NaN,0.23921
-1.0938e+06,NaN,NaN,0.23974
-1.0742e+06,NaN,NaN,0.24017
-1.0547e+06,NaN,NaN,0.24051
-1.0352e+06,NaN,NaN,0.24078
-1.0156e+06,NaN,NaN,0.241
-9.9609e+05,NaN,NaN,0.24117
-9.7656e+05,NaN,NaN,0.2413
-9.5703e+05,NaN,NaN,0.24141
-9.375e+05,NaN,NaN,0.2415
-9.1797e+05,NaN,NaN,0.24157
-8.9844e+05,NaN,NaN,0.24162
-8.7891e+05,NaN,NaN,0.24167
-8.5938e+05,NaN,NaN,0.2417
-8.3984e+05,NaN,NaN,0.24173
-8.2031e+05,NaN,NaN,0.24175
-8.0078e+05,NaN,NaN,0.24177
-7.8125e+05,NaN,NaN,0.24178
-7.6172e+05,NaN,NaN,0.24179
-7.4219e+05,NaN,NaN,0.2418
-7.2266e+05,NaN,NaN,0.24181
-7.0313e+05,NaN,NaN,0.24181
-6.8359e+05,NaN,NaN,0.24182
-6.6406e+05,NaN,NaN,0.24182
-6.4453e+05,NaN,NaN,0.24182
-6.25e+05,NaN,NaN,0.24182
-6.0547e+05,NaN,NaN,0.24183
-5.8594e+05,NaN,NaN,0.24183
-5.6641e+05,NaN,NaN,0.24183
-5.4688e+05,NaN,NaN,0.24183
-5.2734e+05,NaN,NaN,0.24183
-5.0781e+05,NaN,NaN,0.24183
-4.8828e+05,NaN,NaN,0.24183
-4.6875e+05,NaN,NaN,0.24183
-4.4922e+05,NaN,NaN,0.24183
-4.2969e+05,NaN,NaN,0.24183
-4.1016e+05,NaN,NaN,0.24183
-3.9063e+05,NaN,NaN,0.24183
-3.7109e+05,NaN,NaN,0.24183
-3.5156e+05,NaN,NaN,0.24183
-3.3203e+05,NaN,NaN,0.24183
-3.125e+05,NaN,NaN,0.24183
-2.9297e+05,NaN,NaN,0.24183
-2.7344e+05,NaN,NaN,0.24183
-2.5391e+05,NaN,NaN,0.24183
-2.3438e+05,NaN,NaN,0.24183
-2.1484e+05,NaN,NaN,0.24183
-1.9531e+05,NaN,NaN,0.24183
-1.7578e+05,NaN,NaN,0.24183
-1.5625e+05,NaN,NaN,0.24183
-1.3672e+05,NaN,NaN,0.24183
-1.1719e+05,NaN,NaN,0.24183
-97656,NaN,NaN,0.24183
-78125,NaN,NaN,0.24183
-58594,NaN,NaN,0.24183
-39063,NaN,NaN,0.24183
-19531,NaN,NaN,0.24183
0,0.0050003,NaN,0.24183
19531,0.040002,558.01,0.24183
39063,0.075004,558.01,0.24183
58594,0.15001,260.4,0.24183
78125,0.35002,97.651,0.24183
97656,0.86004,38.295,0.24183
1.1719e+05,1.9351,18.168,0.24183
1.3672e+05,3.2852,14.467,0.24183
1.5625e+05,4.5652,15.258,0.24183
1.7578e+05,5.7753,16.141,0.24183
1.9531e+05,6.9403,16.764,0.24183
2.1484e+05,8.0754,17.207,0.24183
2.3438e+05,9.1955,17.438,0.24183
2.5391e+05,10.301,17.674,0.24183
2.7344e+05,11.406,17.674,0.24183
2.9297e+05,12.496,17.918,0.24183
3.125e+05,13.591,17.836,0.24183
3.3203e+05,14.676,18,0.24183
3.5156e+05,15.761,18,0.24183
3.7109e+05,16.841,18.084,0.24183
3.9063e+05,17.921,18.084,0.24183
4.1016e+05,18.996,18.168,0.24183
4.2969e+05,20.071,18.168,0.24183
4.4922e+05,21.146,18.168,0.24183
4.6875e+05,22.221,18.168,0.24183
4.8828e+05,23.291,18.253,0.24183
5.0781e+05,24.366,18.168,0.24183
5.2734e+05,25.436,18.253,0.24183
5.4688e+05,26.506,18.253,0.24183
5.6641e+05,27.571,18.338,0.24183
5.8594e+05,28.641,18.253,0.24183
6.0547e+05,29.706,18.338,0.24183
6.25e+05,30.777,18.253,0.24182
6.4453e+05,31.842,18.338,0.24182
6.6406e+05,32.907,18.338,0.24182
6.8359e+05,33.972,18.338,0.24182
7.0313e+05,35.037,18.338,0.24181
7.2266e+05,36.097,18.425,0.24181
7.4219e+05,37.162,18.338,0.2418
7.6172e+05,38.227,18.338,0.24179
7.8125e+05,39.287,18.425,0.24178
8.0078e+05,40.352,18.338,0.24177
8.2031e+05,41.412,18.425,0.24175
8.3984e+05,42.477,18.338,0.24173
8.5938e+05,43.537,18.425,0.2417
8.7891e+05,44.597,18.425,0.24167
8.9844e+05,45.657,18.425,0.24162
9.1797e+05,46.717,18.425,0.24157
9.375e+05,47.777,18.425,0.2415
9.5703e+05,48.837,18.425,0.24141
9.7656e+05,49.897,18.425,0.2413
9.9609e+05,50.958,18.425,0.24117
1.0156e+06,52.018,18.425,0.241
1.0352e+06,53.078,18.425,0.24078
1.0547e+06,54.138,18.425,0.24051
1.0742e+06,55.198,18.425,0.24017
1.0938e+06,56.253,18.512,0.23974
1.1133e+06,57.313,18.425,0.23921
1.1328e+06,58.368,18.512,0.23853
1.1523e+06,59.428,18.425,0.23769
1.1719e+06,60.488,18.425,0.23662
1.1914e+06,61.543,18.512,0.23529
1.2109e+06,62.598,18.512,0.23362
1.2305e+06,63.658,18.425,0.23153
1.25e+06,64.713,18.512,0.22892
1.2695e+06,65.773,18.425,0.22566
1.2891e+06,66.828,18.512,0.2216
1.3086e+06,67.883,18.512,0.21657
1.3281e+06,68.938,18.512,0.21034
1.3477e+06,69.998,18.425,0.20269
1.3672e+06,71.054,18.512,0.19336
1.3867e+06,72.109,18.512,0.1821
1.4063e+06,73.164,18.512,0.16873
1.4258e+06,74.219,18.512,0.15319
1.4453e+06,75.274,18.512,0.13564
1.4648e+06,76.329,18.512,0.1166
1.4844e+06,77.384,18.512,0.096902
1.5039e+06,78.439,18.512,0.077654
1.5234e+06,79.494,18.512,0.059959
1.543e+06,80.549,18.512,0.044665
1.5625e+06,81.604,18.512,0.032195
1.582e+06,82.654,18.6,0.022542
1.6016e+06,83.709,18.512,0.015395
1.6211e+06,84.764,18.512,0.010296
1.6406e+06,85.819,18.512,0.0067663
1.6602e+06,86.869,18.6,0.0043818
1.6797e+06,87.924,18.512,0.0028029
1.6992e+06,88.979,18.512,0.0017742
1.7188e+06,90.03,18.6,0.0011129
1.7383e+06,91.085,18.512,0.00069268
1.7578e+06,92.135,18.6,0.00042816
1.7773e+06,93.19,18.512,0.00026303
1.7969e+06,94.24,18.6,0.00016069
1.8164e+06,95.295,18.512,9.7682e-05
1.8359e+06,96.345,18.6,5.9107e-05
1.8555e+06,97.4,18.512,3.5614e-05
