x,rhoTime_1e-05,rhoRate_1e-05,rho
-1.2305e+06,NaN,NaN,0.37512
-1.2109e+06,NaN,NaN,0.37526
-1.1914e+06,NaN,NaN,0.37537
-1.1719e+06,NaN,NaN,0.37546
-1.1523e+06,NaN,NaN,0.37553
-1.1328e+06,NaN,NaN,0.37559
-1.1133e+06,NaN,NaN,0.37564
-1.0938e+06,NaN,NaN,0.37568
-1.0742e+06,NaN,NaN,0.37571
-1.0547e+06,NaN,NaN,0.37574
-1.0352e+06,NaN,NaN,0.37576
-1.0156e+06,NaN,NaN,0.37578
-9.9609e+05,NaN,NaN,0.3758
-9.7656e+05,NaN,NaN,0.37581
-9.5703e+05,NaN,NaN,0.37582
-9.375e+05,NaN,NaN,0.37583
-9.1797e+05,NaN,NaN,0.37583
-8.9844e+05,NaN,NaN,0.37584
-8.7891e+05,NaN,NaN,0.37584
-8.5938e+05,NaN,NaN,0.37585
-8.3984e+05,NaN,NaN,0.37585
-8.2031e+05,NaN,NaN,0.37585
-8.0078e+05,NaN,NaN,0.37585
-7.8125e+05,NaN,NaN,0.37586
-7.6172e+05,NaN,NaN,0.37586
-7.4219e+05,NaN,NaN,0.37586
-7.2266e+05,NaN,NaN,0.37586
-7.0313e+05,NaN,NaN,0.37586
-6.8359e+05,NaN,NaN,0.37586
-6.6406e+05,NaN,NaN,0.37586
-6.4453e+05,NaN,NaN,0.37586
-6.25e+05,NaN,NaN,0.37586
-6.0547e+05,NaN,NaN,0.37586
-5.8594e+05,NaN,NaN,0.37586
-5.6641e+05,NaN,NaN,0.37586
-5.4688e+05,NaN,NaN,0.37586
-5.2734e+05,NaN,NaN,0.37586
-5.0781e+05,NaN,NaN,0.37586
-4.8828e+05,NaN,NaN,0.37586
-4.6875e+05,NaN,NaN,0.37586
-4.4922e+05,NaN,NaN,0.37586
-4.2969e+05,NaN,NaN,0.37586
-4.1016e+05,NaN,NaN,0.37586
-3.9063e+05,NaN,NaN,0.37586
-3.7109e+05,NaN,NaN,0.37586
-3.5156e+05,NaN,NaN,0.37586
-3.3203e+05,NaN,NaN,0.37586
-3.125e+05,NaN,NaN,0.37586
-2.9297e+05,NaN,NaN,0.37586
-2.7344e+05,NaN,NaN,0.37586
-2.5391e+05,NaN,NaN,0.37586
-2.3438e+05,NaN,NaN,0.37586
-2.1484e+05,NaN,NaN,0.37586
-1.9531e+05,NaN,NaN,0.37586
-1.7578e+05,NaN,NaN,0.37586
-1.5625e+05,NaN,NaN,0.37586
-1.3672e+05,NaN,NaN,0.37586
-1.1719e+05,NaN,NaN,0.37586
-97656,NaN,NaN,0.37586
-78125,NaN,NaN,0.37586
-58594,NaN,NaN,0.37586
-39063,NaN,NaN,0.37586
-19531,NaN,NaN,0.37586
0,0.0050003,NaN,0.37586
19531,0.025001,976.51,0.37586
39063,0.045002,976.51,0.37586
58594,0.085004,488.26,0.37586
78125,0.17501,217,0.37586
97656,0.36002,105.57,0.37586
1.1719e+05,0.70504,56.609,0.37586
1.3672e+05,1.2201,37.923,0.37586
1.5625e+05,1.8801,29.591,0.37586
1.7578e+05,2.6551,25.2,0.37586
1.9531e+05,3.5152,22.71,0.37586
2.1484e+05,4.4402,21.114,0.37586
2.3438e+05,5.4203,19.929,0.37586
2.5391e+05,6.4403,19.147,0.37586
2.7344e+05,7.4904,18.6,0.37586
2.9297e+05,8.5704,18.084,0.37586
3.125e+05,9.6705,17.755,0.37586
3.3203e+05,10.786,17.516,0.37586
3.5156e+05,11.916,17.283,0.37586
3.7109e+05,13.056,17.132,0.37586
3.9063e+05,14.206,16.983,0.37586
4.1016e+05,15.366,16.836,0.37586
4.2969e+05,16.531,16.764,0.37586
4.4922e+05,17.701,16.693,0.37586
4.6875e+05,18.871,16.693,0.37586
4.8828e+05,21.326,7.9553,0.37586
5.0781e+05,21.781,42.924,0.37586
5.2734e+05,23.236,13.423,0.37586
5.4688e+05,23.631,49.444,0.37586
5.6641e+05,25.081,13.469,0.37586
5.8594e+05,25.476,49.444,0.37586
6.0547e+05,25.916,44.387,0.37586
6.25e+05,27.336,13.754,0.37586
6.4453e+05,27.761,45.954,0.37586
6.6406e+05,29.201,13.563,0.37586
6.8359e+05,29.611,47.635,0.37586
7.0313e+05,31.082,13.286,0.37586
7.2266e+05,31.477,49.444,0.37586
7.4219e+05,31.922,43.888,0.37586
7.6172e+05,33.337,13.802,0.37586
7.8125e+05,33.762,45.954,0.37586
8.0078e+05,35.212,13.469,0.37585
8.2031e+05,35.617,48.223,0.37585
8.3984e+05,37.067,13.469,0.37585
8.5938e+05,37.462,49.444,0.37585
8.7891e+05,37.912,43.401,0.37584
8.9844e+05,39.332,13.754,0.37584
9.1797e+05,39.757,45.954,0.37583
9.375e+05,41.197,13.563,0.37583
9.5703e+05,41.607,47.635,0.37582
9.7656e+05,43.052,13.516,0.37581
9.9609e+05,43.457,48.223,0.3758
1.0156e+06,43.907,43.401,0.37578
1.0352e+06,45.327,13.754,0.37576
1.0547e+06,45.747,46.501,0.37574
1.0742e+06,47.197,13.469,0.37571
1.0938e+06,47.602,48.223,0.37568
1.1133e+06,49.062,13.377,0.37564
1.1328e+06,49.462,48.826,0.37559
1.1523e+06,49.902,44.387,0.37553
1.1719e+06,51.318,13.802,0.37546
1.1914e+06,51.738,46.501,0.37537
1.2109e+06,53.188,13.469,0.37526
1.2305e+06,53.593,48.223,0.37512
1.25e+06,55.043,13.469,0.37496
1.2695e+06,55.438,49.444,0.37476
1.2891e+06,55.878,44.387,0.37452
1.3086e+06,57.298,13.754,0.37422
1.3281e+06,57.718,46.501,0.37385
1.3477e+06,59.148,13.658,0.37341
1.3672e+06,59.558,47.635,0.37287
1.3867e+06,61.023,13.331,0.37221
1.4063e+06,61.418,49.444,0.3714
1.4258e+06,61.853,44.897,0.37042
1.4453e+06,63.278,13.705,0.36922
1.4648e+06,63.698,46.501,0.36776
1.4844e+06,65.133,13.61,0.36599
1.5039e+06,65.538,48.223,0.36383
1.5234e+06,66.003,42.001,0.36121
1.543e+06,67.398,14,0.35802
1.5625e+06,67.833,44.897,0.35416
1.582e+06,69.253,13.754,0.3495
1.6016e+06,69.673,46.501,0.34387
1.6211e+06,71.129,13.423,0.33709
