x,lambdaTime_1e-05,lambdaRate_1e-05,lambda
-5.4297e+06,NaN,NaN,1.1421e-19
-5.4102e+06,NaN,NaN,2.4519e-19
-5.3906e+06,NaN,NaN,5.2616e-19
-5.3711e+06,NaN,NaN,1.1285e-18
-5.3516e+06,NaN,NaN,2.4193e-18
-5.332e+06,NaN,NaN,5.1837e-18
-5.3125e+06,NaN,NaN,1.1101e-17
-5.293e+06,NaN,NaN,2.3761e-17
-5.2734e+06,NaN,NaN,5.083e-17
-5.2539e+06,NaN,NaN,1.0868e-16
-5.2344e+06,NaN,NaN,2.3223e-16
-5.2148e+06,NaN,NaN,4.9594e-16
-5.1953e+06,NaN,NaN,1.0585e-15
-5.1758e+06,NaN,NaN,2.2577e-15
-5.1563e+06,NaN,NaN,4.8127e-15
-5.1367e+06,NaN,NaN,1.0252e-14
-5.1172e+06,NaN,NaN,2.1826e-14
-5.0977e+06,NaN,NaN,4.6434e-14
-5.0781e+06,NaN,NaN,9.8716e-14
-5.0586e+06,NaN,NaN,2.0971e-13
-5.0391e+06,NaN,NaN,4.4518e-13
-5.0195e+06,NaN,NaN,9.4432e-13
-5e+06,NaN,NaN,2.0015e-12
-4.9805e+06,NaN,NaN,4.2388e-12
-4.9609e+06,NaN,NaN,8.9692e-12
-4.9414e+06,NaN,NaN,1.8962e-11
-4.9219e+06,NaN,NaN,4.0052e-11
-4.9023e+06,NaN,NaN,8.4518e-11
-4.8828e+06,NaN,NaN,1.7818e-10
-4.8633e+06,NaN,NaN,3.7523e-10
-4.8438e+06,NaN,NaN,7.8938e-10
-4.8242e+06,NaN,NaN,1.6588e-09
-4.8047e+06,NaN,NaN,3.4815e-09
-4.7852e+06,NaN,NaN,7.2984e-09
-4.7656e+06,NaN,NaN,1.528e-08
-4.7461e+06,NaN,NaN,3.1946e-08
-4.7266e+06,NaN,NaN,6.6693e-08
-4.707e+06,NaN,NaN,1.3902e-07
-4.6875e+06,NaN,NaN,2.8932e-07
-4.668e+06,NaN,NaN,6.0107e-07
-4.6484e+06,NaN,NaN,1.2464e-06
-4.6289e+06,NaN,NaN,2.5796e-06
-4.6094e+06,NaN,NaN,5.3273e-06
-4.5898e+06,NaN,NaN,1.0976e-05
-4.5703e+06,NaN,NaN,2.2559e-05
-4.5508e+06,NaN,NaN,4.6238e-05
-4.5313e+06,NaN,NaN,9.4486e-05
-4.5117e+06,NaN,NaN,0.00019243
-4.4922e+06,NaN,NaN,0.00039045
-4.4727e+06,NaN,NaN,0.00078882
-4.4531e+06,NaN,NaN,0.0015856
-4.4336e+06,NaN,NaN,0.0031677
-4.4141e+06,NaN,NaN,0.0062788
-4.3945e+06,NaN,NaN,0.012313
-4.375e+06,NaN,NaN,0.023771
-4.3555e+06,NaN,NaN,0.044805
-4.3359e+06,NaN,NaN,0.081317
-4.3164e+06,NaN,NaN,0.13916
-4.2969e+06,NaN,NaN,0.21873
-4.2773e+06,NaN,NaN,0.30863
-4.2578e+06,NaN,NaN,0.38847
-4.2383e+06,NaN,NaN,0.44307
-4.2188e+06,NaN,NaN,0.47128
-4.1992e+06,NaN,NaN,0.48087
-4.1797e+06,NaN,NaN,0.48039
-4.1602e+06,NaN,NaN,0.47566
-4.1406e+06,NaN,NaN,0.46982
-4.1211e+06,NaN,NaN,0.46429
-4.1016e+06,NaN,NaN,0.45956
-4.082e+06,NaN,NaN,0.45572
-4.0625e+06,NaN,NaN,0.45268
-4.043e+06,NaN,NaN,0.45033
-4.0234e+06,NaN,NaN,0.44852
-4.0039e+06,NaN,NaN,0.44713
-3.9844e+06,NaN,NaN,0.44608
-3.9648e+06,NaN,NaN,0.44529
-3.9453e+06,NaN,NaN,0.44469
-3.9258e+06,NaN,NaN,0.44424
