x,lambdaTime_1e-05,lambdaRate_1e-05,lambda
1.7969e+06,95.03,12.093,0.00010951
1.8164e+06,95.51,40.688,7.1153e-05
1.8359e+06,97.12,12.131,4.6069e-05
1.8555e+06,97.615,39.455,2.9729e-05
1.875e+06,99.18,12.479,1.9125e-05
1.8945e+06,99.7,37.558,1.2266e-05
1.9141e+06,NaN,NaN,7.8449e-06
1.9336e+06,NaN,NaN,5.0035e-06
1.9531e+06,NaN,NaN,3.1828e-06
1.9727e+06,NaN,NaN,2.0195e-06
1.9922e+06,NaN,NaN,1.2782e-06
2.0117e+06,NaN,NaN,8.0711e-07
2.0313e+06,NaN,NaN,5.0847e-07
2.0508e+06,NaN,NaN,3.196e-07
2.0703e+06,NaN,NaN,2.0045e-07
2.0898e+06,NaN,NaN,1.2546e-07
2.1094e+06,NaN,NaN,7.8355e-08
2.1289e+06,NaN,NaN,4.8838e-08
2.1484e+06,NaN,NaN,3.038e-08
2.168e+06,NaN,NaN,1.8861e-08
2.1875e+06,NaN,NaN,1.1688e-08
2.207e+06,NaN,NaN,7.2288e-09
2.2266e+06,NaN,NaN,4.4629e-09
2.2461e+06,NaN,NaN,2.7503e-09
2.2656e+06,NaN,NaN,1.6919e-09
2.2852e+06,NaN,NaN,1.039e-09
2.3047e+06,NaN,NaN,6.3694e-10
2.3242e+06,NaN,NaN,3.8982e-10
2.3438e+06,NaN,NaN,2.3818e-10
2.3633e+06,NaN,NaN,1.4529e-10
2.3828e+06,NaN,NaN,8.8481e-11
2.4023e+06,NaN,NaN,5.38e-11
2.4219e+06,NaN,NaN,3.2662e-11
2.4414e+06,NaN,NaN,1.9798e-11
2.4609e+06,NaN,NaN,1.1982e-11
2.4805e+06,NaN,NaN,7.241e-12
2.5e+06,NaN,NaN,4.3693e-12
2.5195e+06,NaN,NaN,2.6326e-12
2.5391e+06,NaN,NaN,1.5839e-12
2.5586e+06,NaN,NaN,9.516e-13
2.5781e+06,NaN,NaN,5.709e-13
2.5977e+06,NaN,NaN,3.4202e-13
2.6172e+06,NaN,NaN,2.0462e-13
2.6367e+06,NaN,NaN,1.2225e-13
